Disease,Description,Precautions,Diet,Workout,Medication
Fungal infection,"Fungal infection is a skin disease caused by fungi affecting skin, hair, or nails.","Keep skin clean|Use antifungal cream|Avoid sharing towels|Wear dry clothes","Fresh vegetables|Yogurt|Garlic|Drink plenty of water","Walking|Light stretching","Clotrimazole|Ketoconazole"
Allergy,"An allergy is an immune system reaction to substances like pollen, dust, or food.","Avoid allergens|Drink plenty of water|Take antihistamines|Consult doctor","Vitamin C fruits|Vegetables|Warm water|Honey","Walking|Yoga","Cetirizine|Loratadine"
GERD,"Gastroesophageal reflux disease causes acid from the stomach to flow back into the esophagus.","Avoid spicy food|Eat small meals|Don't lie down after meals|Reduce caffeine","Oatmeal|Banana|Brown rice|Boiled vegetables","Walking after meals|Light exercise","Omeprazole|Pantoprazole"
Chronic cholestasis,"A liver disorder that reduces or blocks the flow of bile.","Eat low-fat foods|Avoid alcohol|Stay hydrated|Regular checkups","Fruits|Vegetables|Whole grains|Lean protein","Walking|Yoga","Ursodeoxycholic acid"
Drug Reaction,"An unwanted reaction caused by medicines.","Stop suspected medicine|Consult doctor|Drink water|Monitor symptoms","Soft diet|Fresh fruits|Soup|Water","Rest|Walking","Antihistamines"
Peptic ulcer disease,"Open sores that develop in the stomach lining or upper small intestine.","Avoid spicy food|Quit smoking|Reduce stress|Eat on time","Rice|Banana|Milk|Boiled vegetables","Walking","Antacids|Omeprazole"
AIDS,"A chronic disease caused by HIV that weakens the immune system.","Take ART regularly|Maintain hygiene|Eat healthy food|Regular medical follow-up","High-protein diet|Fruits|Vegetables|Plenty of fluids","Light exercise|Walking","Antiretroviral therapy"
Diabetes,"A disease where blood sugar levels remain high because of insufficient insulin or insulin resistance.","Monitor blood sugar|Exercise regularly|Take medicines|Healthy diet","Whole grains|Leafy vegetables|Beans|Nuts","Walking|Cycling|Jogging","Metformin|Insulin"
Gastroenteritis,"Inflammation of the stomach and intestines usually caused by infection.","Drink ORS|Stay hydrated|Eat light food|Consult doctor if severe","Rice|Banana|Toast|ORS","Rest","ORS|Probiotics"
Bronchial Asthma,"A chronic respiratory disease causing airway inflammation and breathing difficulty.","Carry inhaler|Avoid smoke|Avoid allergens|Visit pulmonologist","Fruits|Leafy vegetables|Fish|Water","Breathing exercises|Walking","Salbutamol inhaler"
Hypertension,"Hypertension is a condition in which blood pressure remains consistently high.","Reduce salt intake|Exercise regularly|Reduce stress|Monitor blood pressure","Low-salt diet|Fruits|Vegetables|Oats","Walking|Yoga|Meditation","Amlodipine|Losartan"
Migraine,"Migraine is a neurological disorder causing severe recurring headaches.","Sleep well|Stay hydrated|Avoid stress|Avoid bright lights","Magnesium-rich foods|Water|Fresh fruits|Whole grains","Meditation|Stretching","Paracetamol|Sumatriptan"
Cervical spondylosis,"Cervical spondylosis is age-related wear and tear affecting the neck bones and discs.","Maintain good posture|Neck exercises|Avoid heavy lifting|Consult physiotherapist","Calcium-rich foods|Milk|Leafy vegetables|Protein-rich foods","Neck stretching|Walking","Pain relievers|Muscle relaxants"
Paralysis (brain hemorrhage),"Paralysis due to brain hemorrhage affects movement because of bleeding in the brain.","Immediate medical care|Physiotherapy|Healthy diet|Regular follow-up","Protein-rich foods|Fruits|Vegetables|Whole grains","Physiotherapy|Range of motion exercises","Blood pressure medicines|Doctor prescribed medication"
Jaundice,"Jaundice causes yellowing of the skin and eyes due to increased bilirubin.","Drink clean water|Avoid alcohol|Take proper rest|Consult doctor","Coconut water|Fruit juice|Boiled vegetables|Rice","Light walking","Liver supportive medication"
Malaria,"Malaria is a mosquito-borne disease caused by Plasmodium parasites.","Use mosquito nets|Take medicines completely|Drink water|Rest","ORS|Soup|Fresh fruits|Light meals","Complete rest","Chloroquine|Artemisinin combination therapy"
Chicken pox,"Chicken pox is a viral infection causing itchy blisters and fever.","Avoid scratching|Stay isolated|Drink fluids|Maintain hygiene","Soft foods|Soup|Fruits|Water","Rest","Paracetamol|Calamine lotion"
Dengue,"Dengue is a viral disease spread by mosquitoes causing fever and body pain.","Drink ORS|Monitor platelets|Take rest|Consult doctor","ORS|Coconut water|Papaya leaf juice|Fresh fruits","Complete rest","Paracetamol"
Typhoid,"Typhoid is a bacterial infection caused by Salmonella typhi.","Drink boiled water|Maintain hygiene|Complete antibiotics|Rest","Rice|Banana|Curd|Soup","Rest","Cefixime|Azithromycin"
Hepatitis A,"Hepatitis A is a viral infection affecting the liver.","Maintain hygiene|Drink clean water|Avoid alcohol|Take rest","Boiled vegetables|Rice|Fruit juice|Water","Light walking after recovery","Supportive treatment"
Hepatitis B,"Hepatitis B is a viral infection that affects the liver and can become chronic.","Avoid alcohol|Take prescribed medicines|Get regular liver checkups|Maintain hygiene","Low-fat diet|Fresh fruits|Vegetables|Plenty of water","Light walking","Antiviral medication prescribed by doctor"
Hepatitis C,"Hepatitis C is a viral liver infection that can lead to chronic liver disease.","Avoid alcohol|Regular liver tests|Healthy diet|Consult specialist","Protein-rich foods|Fresh fruits|Vegetables|Water","Walking","Antiviral therapy"
Hepatitis D,"Hepatitis D occurs only in people infected with Hepatitis B virus.","Follow doctor's advice|Avoid alcohol|Maintain hygiene|Regular monitoring","Balanced diet|Vegetables|Fruits|Whole grains","Light exercise","Antiviral medication"
Hepatitis E,"Hepatitis E is a viral liver infection commonly spread through contaminated water.","Drink clean water|Maintain hygiene|Take rest|Avoid alcohol","Rice|Boiled vegetables|Fruit juice|Water","Light walking","Supportive treatment"
Alcoholic hepatitis,"Alcoholic hepatitis is liver inflammation caused by excessive alcohol consumption.","Stop alcohol completely|Healthy diet|Take medicines|Regular follow-up","Protein-rich foods|Fresh fruits|Vegetables|Whole grains","Walking after recovery","Liver supportive medicines"
Tuberculosis,"Tuberculosis is a bacterial infection mainly affecting the lungs.","Complete full treatment|Wear a mask|Eat nutritious food|Regular medical follow-up","High-protein diet|Milk|Eggs|Fresh fruits","Breathing exercises|Walking","Anti-tuberculosis drugs"
Common Cold,"Common cold is a viral infection affecting the nose and throat.","Take rest|Drink warm fluids|Maintain hygiene|Consult doctor if symptoms worsen","Soup|Warm water|Fruits|Vegetables","Light walking","Paracetamol|Cetirizine"
Pneumonia,"Pneumonia is an infection that inflames the air sacs in one or both lungs.","Take prescribed antibiotics|Drink fluids|Take rest|Visit doctor regularly","Soup|Protein-rich foods|Fresh fruits|Water","Breathing exercises","Amoxicillin|Azithromycin"
Dimorphic hemorrhoids(piles),"Piles are swollen veins in the lower rectum or anus.","Eat high-fiber foods|Drink water|Avoid straining|Exercise regularly","Whole grains|Fruits|Vegetables|Water","Walking","Stool softeners|Topical creams"
Heart attack,"A heart attack occurs when blood flow to the heart muscle is blocked.","Seek emergency care|Take prescribed medicines|Quit smoking|Exercise after recovery","Low-fat diet|Oats|Fruits|Vegetables","Cardiac rehabilitation|Walking","Aspirin|Statins"
Varicose veins,"Varicose veins are enlarged, twisted veins usually affecting the legs.","Avoid standing for long periods|Elevate legs|Wear compression stockings|Exercise regularly","High-fiber foods|Fruits|Vegetables|Plenty of water","Walking|Leg stretching","Pain relievers|Compression therapy"
Hypothyroidism,"Hypothyroidism occurs when the thyroid gland does not produce enough thyroid hormones.","Take thyroid medicine regularly|Exercise daily|Eat balanced meals|Regular thyroid checkups","Iodine-rich foods|Milk|Eggs|Whole grains","Walking|Yoga","Levothyroxine"
Hyperthyroidism,"Hyperthyroidism occurs when the thyroid gland produces excess thyroid hormones.","Take medicines regularly|Avoid excess iodine|Reduce stress|Regular thyroid tests","High-protein foods|Vegetables|Whole grains|Fresh fruits","Walking|Light yoga","Methimazole|Propylthiouracil"
Hypoglycemia,"Hypoglycemia is a condition in which blood sugar drops below normal levels.","Eat immediately|Carry glucose tablets|Monitor blood sugar|Consult doctor","Fruit juice|Glucose|Banana|Frequent small meals","Light walking after recovery","Glucose tablets"
Osteoarthritis,"Osteoarthritis is a degenerative joint disease causing pain and stiffness.","Maintain healthy weight|Exercise regularly|Avoid heavy lifting|Consult physiotherapist","Calcium-rich foods|Milk|Fish|Leafy vegetables","Swimming|Walking|Stretching","Paracetamol|NSAIDs"
Arthritis,"Arthritis is inflammation of one or more joints causing pain and swelling.","Exercise regularly|Maintain healthy weight|Use hot/cold therapy|Consult doctor","Omega-3 rich foods|Fruits|Vegetables|Whole grains","Yoga|Walking|Stretching","Ibuprofen|Naproxen"
Acne,"Acne is a skin condition caused by clogged hair follicles with oil and dead skin cells.","Wash face regularly|Avoid oily cosmetics|Do not squeeze pimples|Stay hydrated","Fresh fruits|Vegetables|Drink plenty of water|Low-sugar foods","Walking","Benzoyl peroxide|Adapalene"
Urinary tract infection,"A urinary tract infection is a bacterial infection affecting the urinary system.","Drink plenty of water|Maintain hygiene|Complete antibiotics|Do not hold urine","Cranberry juice|Water|Fresh fruits|Vegetables","Walking","Nitrofurantoin|Trimethoprim"
Psoriasis,"Psoriasis is a chronic autoimmune skin disease causing red, scaly patches.","Moisturize skin|Avoid stress|Avoid skin injuries|Consult dermatologist","Omega-3 rich foods|Fruits|Vegetables|Whole grains","Yoga|Walking","Topical corticosteroids|Vitamin D cream"
Impetigo,"Impetigo is a contagious bacterial skin infection commonly affecting children.","Keep skin clean|Avoid scratching|Wash hands frequently|Complete antibiotics","Protein-rich foods|Fruits|Vegetables|Plenty of water","Rest","Mupirocin|Cephalexin"
